日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-01-05,600519,1385.0,1426.0,1431.88,1385.0,70949,10018086372.0,3.4,3.54,48.82,0.57
2026-01-06,600519,1432.55,1428.01,1436.97,1416.53,39586,5649710153.0,1.43,0.14,2.01,0.32
2026-01-07,600519,1432.88,1423.36,1435.0,1420.2,29684,4234255286.0,1.04,-0.33,-4.65,0.24
2026-01-08,600519,1423.33,1412.3,1423.36,1408.14,29135,4117925041.0,1.07,-0.78,-11.06,0.23
2026-01-09,600519,1417.0,1419.1,1428.6,1416.01,29848,4243865418.0,0.89,0.48,6.8,0.24
2026-01-12,600519,1419.1,1423.23,1431.0,1417.1,36083,5135636033.0,0.98,0.29,4.13,0.29
2026-01-13,600519,1426.79,1411.0,1429.52,1408.99,39169,5555633779.0,1.44,-0.86,-12.23,0.31
2026-01-14,600519,1411.0,1398.01,1422.25,1396.18,51758,7285041159.0,1.85,-0.92,-12.99,0.41
2026-01-15,600519,1396.02,1388.89,1402.83,1388.58,40907,5698739671.0,1.02,-0.65,-9.12,0.33
2026-01-16,600519,1395.0,1382.0,1397.5,1380.0,55121,7643061998.0,1.26,-0.5,-6.89,0.44
2026-01-19,600519,1381.9,1376.0,1387.49,1375.0,42286,5833745442.0,0.9,-0.43,-6.0,0.34
2026-01-20,600519,1379.5,1373.55,1381.58,1372.05,36484,5021900765.0,0.69,-0.18,-2.45,0.29
2026-01-21,600519,1373.56,1351.06,1374.4,1350.0,64516,8775880803.0,1.78,-1.64,-22.49,0.52
2026-01-22,600519,1352.01,1340.06,1361.76,1337.48,59011,7962441434.0,1.8,-0.81,-11.0,0.47
2026-01-23,600519,1340.1,1337.0,1348.0,1332.47,61949,8301311489.0,1.16,-0.23,-3.06,0.49
2026-01-26,600519,1340.51,1342.0,1355.0,1325.12,80166,10751225525.0,2.23,0.37,5.0,0.64
2026-01-27,600519,1344.98,1343.01,1353.7,1338.0,48416,6514513216.0,1.17,0.08,1.01,0.39
2026-01-28,600519,1343.04,1323.69,1346.71,1322.01,76218,10135019524.0,1.84,-1.44,-19.32,0.61
2026-01-29,600519,1335.0,1437.72,1445.0,1329.06,189534,26305591086.0,8.76,8.61,114.03,1.51
2026-01-30,600519,1435.0,1401.0,1435.0,1401.0,94480,13366329414.0,2.36,-2.55,-36.72,0.75
2026-02-02,600519,1425.0,1427.0,1458.58,1411.62,85724,12312646443.0,3.35,1.86,26.0,0.68
2026-02-03,600519,1445.0,1474.92,1476.81,1443.03,86321,12628439703.0,2.37,3.36,47.92,0.69
2026-02-04,600519,1485.0,1525.0,1533.27,1474.0,109123,16444345980.0,4.02,3.4,50.08,0.87
2026-02-05,600519,1520.0,1555.0,1565.0,1515.0,91623,14183456476.0,3.28,1.97,30.0,0.73
2026-02-06,600519,1555.0,1515.01,1568.0,1505.88,78965,12019878669.0,3.99,-2.57,-39.99,0.63
2026-02-09,600519,1518.0,1524.96,1542.88,1513.49,51168,7809067705.0,1.94,0.66,9.95,0.41
2026-02-10,600519,1524.97,1504.8,1524.97,1496.5,39576,5953269321.0,1.87,-1.32,-20.16,0.32
2026-02-11,600519,1504.8,1504.33,1514.0,1496.0,30928,4648360030.0,1.2,-0.03,-0.47,0.25
2026-02-12,600519,1500.2,1486.6,1502.82,1473.36,46246,6874370113.0,1.96,-1.18,-17.73,0.37
2026-02-13,600519,1486.6,1485.3,1507.8,1470.58,41679,6216379203.0,2.5,-0.09,-1.3,0.33
2026-02-24,600519,1521.0,1466.8,1524.4,1463.6,41913,6198840572.0,4.09,-1.25,-18.5,0.33
2026-02-25,600519,1470.0,1491.66,1509.66,1467.88,36881,5490316149.0,2.85,1.69,24.86,0.29
2026-02-26,600519,1486.6,1466.21,1489.49,1464.67,32958,4855471430.0,1.66,-1.71,-25.45,0.26
